"memberId";"name";"phone";"gender";"address";"email";"password"
100;"王小明";"0912345678";"男";"台北市";"ming@example.com";"abc123"
101;"李小美";"0987654321";"女";"新北市";"mei@example.com";"def456"
102;"陳大明";"0911000111";"女";"新北市新莊區";"heyuxin@example.com";"pass123"
103;"張玉蓮";"0922333444";"女";"台中市南區";"yulian@example.com";"yuli123"
104;"林志強";"0933222111";"男";"高雄市左營區";"zhiqiang@example.com";"lin456"
105;"黃心怡";"0966888999";"女";"桃園市中壢區";"xinyi@example.com";"hxylove"
106;"吳宗憲";"0911222333";"男";"台北市信義區";"sungxian@example.com";"wus123"
107;"簡佩珊";"0955777888";"女";"新竹市東區";"peishan@example.com";"jpspass"
108;"鄭凱文";"0988777666";"男";"台南市中西區";"kaiwen@example.com";"kevinkw"
109;"曾美芳";"0933666555";"女";"基隆市仁愛區";"meifang@example.com";"zmf000"
